what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1343655429611
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1343655429611
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1343655429611
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1343655429627
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1343655429627
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1343655429627
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1343655429627
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1343655429627
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1343655429627
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1343655429627
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1343655429627
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1343655429643
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1343655429643
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1343655429643
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1343655429643
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1343655429674
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1343655429674
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1343655429674
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1343655429674
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1343655429674
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1343655429689
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1343655429705
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1343655429705
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1343655429721
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1343655429721
os,sysinfo,,,"win32",1343655429721
arch,sysinfo,,,"x86",1343655429721
ws,sysinfo,,,"win32",1343655429721
locale,sysinfo,,,"en_US",1343655429721
processors,sysinfo,,,"1",1343655429721
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343655429721
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1343655429721
java.specification.name,sysinfo,,,"Java Platform API Specification",1343655429721
java.specification.vendor,sysinfo,,,"Oracle Corporation",1343655429721
java.specification.version,sysinfo,,,"1.7",1343655429721
java.vendor,sysinfo,,,"Oracle Corporation",1343655429721
java.version,sysinfo,,,"1.7.0_05",1343655429721
java.vm.info,sysinfo,,,"mixed mode, sharing",1343655429721
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1343655429721
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343655429721
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1343655429721
java.vm.specification.version,sysinfo,,,"1.7",1343655429721
java.vm.vendor,sysinfo,,,"Oracle Corporation",1343655429721
java.vm.version,sysinfo,,,"23.1-b03",1343655429721
